# HELP_DB extraction summary

Source:  frontend\src\components\redteam\ScenarioHelpModal.jsx
Entries: 48
Total bytes: 112359

| Scenario ID | Lines | Bytes |
|---|---|---|
| baseline_fallback | 31 | 1599 |
| cascade_attack | 34 | 1845 |
| coordinated_multi_vector_apt | 37 | 2091 |
| csv_data_injection_pipeline | 34 | 1905 |
| delta2_bypass_base64 | 64 | 4247 |
| delta2_bypass_homoglyph | 77 | 5442 |
| delta2_bypass_split_turn | 41 | 2384 |
| emergency_protocol_social_engineering | 37 | 2284 |
| exfiltration_config | 34 | 1964 |
| full_killchain_vascular_ligature | 37 | 2211 |
| genetic_evolution_bypass | 35 | 2038 |
| ligature_compromise | 36 | 2014 |
| multi_agent_collusion | 32 | 1763 |
| multi_turn_memory_attack | 46 | 3719 |
| poison_lent | 34 | 1748 |
| private_rag_airgap_bypass | 33 | 1708 |
| rag_poisoning_clinical_guidelines | 44 | 3508 |
| ransomware_cascade_attack | 35 | 1936 |
| ransomware_demo | 35 | 1814 |
| ransomware_perop | 35 | 1934 |
| router_misclassification_exploit | 33 | 1937 |
| self_query_privilege_escalation | 32 | 1748 |
| semi_structured_table_poisoning | 46 | 3882 |
| solo_chain_of_note | 28 | 1389 |
| solo_critique_revise | 33 | 1598 |
| solo_feedback_poisoning | 33 | 1642 |
| solo_functions_agent | 33 | 1483 |
| solo_guardrails | 80 | 5733 |
| solo_hyde | 33 | 1623 |
| solo_iterative_search | 33 | 1577 |
| solo_multi_index_fusion | 32 | 1674 |
| solo_propositional | 30 | 1618 |
| solo_rag_fusion | 29 | 1386 |
| solo_rag_multi_query | 30 | 1349 |
| solo_retrieval_agent | 29 | 1433 |
| solo_rewrite_retrieve_read | 29 | 1485 |
| solo_skeleton_of_thought | 30 | 1502 |
| solo_sql_attack | 35 | 1575 |
| solo_sql_research | 34 | 1490 |
| solo_summarize | 35 | 1803 |
| solo_transactional_agent | 33 | 1592 |
| solo_xml_agent | 35 | 1664 |
| stealth_pii_exfiltration | 36 | 2079 |
| steganographic_dicom_injection | 101 | 7009 |
| supply_chain_rag_poisoning | 56 | 4564 |
| temporal_video_frame_injection | 73 | 5303 |
| tool_discovery_exploitation | 36 | 2015 |
| transactional_fraud_chain | 34 | 2052 |
